datum,attribuut,Pre Triply import,Post Triply import
2025-02-28,choId,1079758.0,1191113.0
2025-02-28,typeCho,5.0,5.0
2025-02-28,vertrouwelijkheidPreflabel,2.0,2.0
2025-02-28,vertrouwelijkheidUri,2.0,2.0
2025-02-28,objectnummer,1079758.0,1191113.0
2025-02-28,basisregistratieId,210880.0,204083.0
2025-02-28,bagRelatieId,210880.0,204083.0
2025-02-28,plaatsnaam,4713.0,4338.0
2025-02-28,geometrieId,101847.0,135996.0
2025-02-28,WKT,98589.0,129210.0
2025-02-28,kennisregistratienummer,1362311.0,951053.0
2025-02-28,typeKennis,5.0,5.0
2025-02-28,zaakId,104269.0,99308.0
2025-02-28,kennisVertrouwelijkheidPreflabel,2.0,2.0
2025-02-28,kennisVertrouwelijkheidUri,2.0,2.0
2025-02-28,formeelStandpunt,1.0,1.0
2025-02-28,kennisOmschrijvingPreflabel,1.0,
2025-02-28,kennisOmschrijvingUri,1.0,
2025-02-28,registratiedatum,124050.0,92949.0
2025-02-28,identificatie,868878.0,874078.0
2025-02-28,samenhangChoId,96675.0,113217.0
2025-02-28,samenhangTypeCho,2.0,3.0
2025-02-28,samenhangRelatiePreflabel,1.0,1.0
2025-02-28,samenhangRelatieUri,1.0,1.0
2025-02-28,samenhangToelichting,0.0,5.0
2025-02-28,typekenmerkPreflabel,1.0,2.0
2025-02-28,typekenmerkUri,1.0,2.0
2025-02-28,typennaamPreflabel,137.0,3161.0
2025-02-28,typennaamUri,127.0,2358.0
2025-02-28,typeRegistratiedatum,14971.0,
2025-02-28,gebeurtenisBegindateringPreflabel,63.0,
2025-02-28,gebeurtenisBegindateringUri,63.0,
2025-02-28,gebeurtenisEinddateringPreflabel,62.0,
2025-02-28,gebeurtenisEinddateringUri,62.0,
2025-02-28,gebeurtenisNaamPreflabel,1.0,
2025-02-28,gebeurtenisNaamUri,1.0,
2025-02-28,gebeurtenisRegistratiedatum,14971.0,
2025-02-28,omschrijving,254228.0,103225.0
2025-02-28,omschrijvingPreflabel,3.0,2.0
2025-02-28,omschrijvingUri,3.0,2.0
2025-02-28,id,108777.0,
2025-02-28,locatieAanduidingId,93527.0,90265.0
2025-02-28,locatietype,1.0,1.0
2025-02-28,locatienaam,48614.0,49044.0
2025-02-28,besluit,,1.0
2025-02-28,WKTRD,,129212.0
2025-02-28,typenaamPreflabel,,140.0
2025-02-28,typenaamUri,,130.0
2025-02-28,aantal,,2487.0
2025-02-28,outerRegistratiedatum,,41183.0
